move_id,move_name,move_type,power,accuracy,pp,priority,damage_class,generation
1,pound,normal,40.0,100.0,35,0,physical,generation-i
10,scratch,normal,40.0,100.0,35,0,physical,generation-i
100,teleport,psychic,,,20,-6,status,generation-i
101,night-shade,ghost,,100.0,15,0,special,generation-i
102,mimic,normal,,,10,0,status,generation-i
103,screech,normal,,85.0,40,0,status,generation-i
104,double-team,normal,,,15,0,status,generation-i
105,recover,normal,,,5,0,status,generation-i
106,harden,normal,,,30,0,status,generation-i
107,minimize,normal,,,10,0,status,generation-i
108,smokescreen,normal,,100.0,20,0,status,generation-i
109,confuse-ray,ghost,,100.0,10,0,status,generation-i
11,vice-grip,normal,55.0,100.0,30,0,physical,generation-i
110,withdraw,water,,,40,0,status,generation-i
111,defense-curl,normal,,,40,0,status,generation-i
112,barrier,psychic,,,20,0,status,generation-i
113,light-screen,psychic,,,30,0,status,generation-i
114,haze,ice,,,30,0,status,generation-i
115,reflect,psychic,,,20,0,status,generation-i
116,focus-energy,normal,,,30,0,status,generation-i
117,bide,normal,,,10,1,physical,generation-i
118,metronome,normal,,,10,0,status,generation-i
119,mirror-move,flying,,,20,0,status,generation-i
12,guillotine,normal,,30.0,5,0,physical,generation-i
120,self-destruct,normal,200.0,100.0,5,0,physical,generation-i
121,egg-bomb,normal,100.0,75.0,10,0,physical,generation-i
122,lick,ghost,30.0,100.0,30,0,physical,generation-i
123,smog,poison,30.0,70.0,20,0,special,generation-i
124,sludge,poison,65.0,100.0,20,0,special,generation-i
125,bone-club,ground,65.0,85.0,20,0,physical,generation-i
126,fire-blast,fire,110.0,85.0,5,0,special,generation-i
127,waterfall,water,80.0,100.0,15,0,physical,generation-i
128,clamp,water,35.0,85.0,15,0,physical,generation-i
129,swift,normal,60.0,,20,0,special,generation-i
13,razor-wind,normal,80.0,100.0,10,0,special,generation-i
130,skull-bash,normal,130.0,100.0,10,0,physical,generation-i
131,spike-cannon,normal,20.0,100.0,15,0,physical,generation-i
132,constrict,normal,10.0,100.0,35,0,physical,generation-i
133,amnesia,psychic,,,20,0,status,generation-i
134,kinesis,psychic,,80.0,15,0,status,generation-i
135,soft-boiled,normal,,,5,0,status,generation-i
136,high-jump-kick,fighting,130.0,90.0,10,0,physical,generation-i
137,glare,normal,,100.0,30,0,status,generation-i
138,dream-eater,psychic,100.0,100.0,15,0,special,generation-i
139,poison-gas,poison,,90.0,40,0,status,generation-i
14,swords-dance,normal,,,20,0,status,generation-i
140,barrage,normal,15.0,85.0,20,0,physical,generation-i
141,leech-life,bug,80.0,100.0,10,0,physical,generation-i
142,lovely-kiss,normal,,75.0,10,0,status,generation-i
143,sky-attack,flying,140.0,90.0,5,0,physical,generation-i
144,transform,normal,,,10,0,status,generation-i
145,bubble,water,40.0,100.0,30,0,special,generation-i
146,dizzy-punch,normal,70.0,100.0,10,0,physical,generation-i
147,spore,grass,,100.0,15,0,status,generation-i
148,flash,normal,,100.0,20,0,status,generation-i
149,psywave,psychic,,100.0,15,0,special,generation-i
15,cut,normal,50.0,95.0,30,0,physical,generation-i
150,splash,normal,,,40,0,status,generation-i
151,acid-armor,poison,,,20,0,status,generation-i
152,crabhammer,water,100.0,90.0,10,0,physical,generation-i
153,explosion,normal,250.0,100.0,5,0,physical,generation-i
154,fury-swipes,normal,18.0,80.0,15,0,physical,generation-i
155,bonemerang,ground,50.0,90.0,10,0,physical,generation-i
156,rest,psychic,,,5,0,status,generation-i
157,rock-slide,rock,75.0,90.0,10,0,physical,generation-i
158,hyper-fang,normal,80.0,90.0,15,0,physical,generation-i
159,sharpen,normal,,,30,0,status,generation-i
16,gust,flying,40.0,100.0,35,0,special,generation-i
160,conversion,normal,,,30,0,status,generation-i
161,tri-attack,normal,80.0,100.0,10,0,special,generation-i
162,super-fang,normal,,90.0,10,0,physical,generation-i
163,slash,normal,70.0,100.0,20,0,physical,generation-i
164,substitute,normal,,,10,0,status,generation-i
166,sketch,normal,,,1,0,status,generation-ii
167,triple-kick,fighting,10.0,90.0,10,0,physical,generation-ii
168,thief,dark,60.0,100.0,25,0,physical,generation-ii
169,spider-web,bug,,,10,0,status,generation-ii
17,wing-attack,flying,60.0,100.0,35,0,physical,generation-i
170,mind-reader,normal,,,5,0,status,generation-ii
171,nightmare,ghost,,100.0,15,0,status,generation-ii
172,flame-wheel,fire,60.0,100.0,25,0,physical,generation-ii
173,snore,normal,50.0,100.0,15,0,special,generation-ii
174,curse,ghost,,,10,0,status,generation-ii
175,flail,normal,,100.0,15,0,physical,generation-ii
176,conversion-2,normal,,,30,0,status,generation-ii
177,aeroblast,flying,100.0,95.0,5,0,special,generation-ii
178,cotton-spore,grass,,100.0,40,0,status,generation-ii
179,reversal,fighting,,100.0,15,0,physical,generation-ii
18,whirlwind,normal,,,20,-6,status,generation-i
180,spite,ghost,,100.0,10,0,status,generation-ii
181,powder-snow,ice,40.0,100.0,25,0,special,generation-ii
182,protect,normal,,,10,4,status,generation-ii
183,mach-punch,fighting,40.0,100.0,30,1,physical,generation-ii
184,scary-face,normal,,100.0,10,0,status,generation-ii
185,feint-attack,dark,60.0,,20,0,physical,generation-ii
186,sweet-kiss,fairy,,75.0,10,0,status,generation-ii
187,belly-drum,normal,,,10,0,status,generation-ii
188,sludge-bomb,poison,90.0,100.0,10,0,special,generation-ii
189,mud-slap,ground,20.0,100.0,10,0,special,generation-ii
19,fly,flying,90.0,95.0,15,0,physical,generation-i
190,octazooka,water,65.0,85.0,10,0,special,generation-ii
191,spikes,ground,,,20,0,status,generation-ii
192,zap-cannon,electric,120.0,50.0,5,0,special,generation-ii
193,foresight,normal,,,40,0,status,generation-ii
194,destiny-bond,ghost,,,5,0,status,generation-ii
195,perish-song,normal,,,5,0,status,generation-ii
196,icy-wind,ice,55.0,95.0,15,0,special,generation-ii
197,detect,fighting,,,5,4,status,generation-ii
198,bone-rush,ground,25.0,90.0,10,0,physical,generation-ii
199,lock-on,normal,,,5,0,status,generation-ii
2,karate-chop,fighting,50.0,100.0,25,0,physical,generation-i
20,bind,normal,15.0,85.0,20,0,physical,generation-i
200,outrage,dragon,120.0,100.0,10,0,physical,generation-ii
201,sandstorm,rock,,,10,0,status,generation-ii
202,giga-drain,grass,75.0,100.0,10,0,special,generation-ii
203,endure,normal,,,10,4,status,generation-ii
204,charm,fairy,,100.0,20,0,status,generation-ii
205,rollout,rock,30.0,90.0,20,0,physical,generation-ii
206,false-swipe,normal,40.0,100.0,40,0,physical,generation-ii
207,swagger,normal,,85.0,15,0,status,generation-ii
208,milk-drink,normal,,,5,0,status,generation-ii
209,spark,electric,65.0,100.0,20,0,physical,generation-ii
21,slam,normal,80.0,75.0,20,0,physical,generation-i
210,fury-cutter,bug,40.0,95.0,20,0,physical,generation-ii
211,steel-wing,steel,70.0,90.0,25,0,physical,generation-ii
212,mean-look,normal,,,5,0,status,generation-ii
213,attract,normal,,100.0,15,0,status,generation-ii
214,sleep-talk,normal,,,10,0,status,generation-ii
215,heal-bell,normal,,,5,0,status,generation-ii
216,return,normal,,100.0,20,0,physical,generation-ii
217,present,normal,,90.0,15,0,physical,generation-ii
218,frustration,normal,,100.0,20,0,physical,generation-ii
219,safeguard,normal,,,25,0,status,generation-ii
22,vine-whip,grass,45.0,100.0,25,0,physical,generation-i
220,pain-split,normal,,,20,0,status,generation-ii
221,sacred-fire,fire,100.0,95.0,5,0,physical,generation-ii
222,magnitude,ground,,100.0,30,0,physical,generation-ii
223,dynamic-punch,fighting,100.0,50.0,5,0,physical,generation-ii
224,megahorn,bug,120.0,85.0,10,0,physical,generation-ii
225,dragon-breath,dragon,60.0,100.0,20,0,special,generation-ii
226,baton-pass,normal,,,40,0,status,generation-ii
227,encore,normal,,100.0,5,0,status,generation-ii
228,pursuit,dark,40.0,100.0,20,0,physical,generation-ii
229,rapid-spin,normal,50.0,100.0,40,0,physical,generation-ii
23,stomp,normal,65.0,100.0,20,0,physical,generation-i
230,sweet-scent,normal,,100.0,20,0,status,generation-ii
231,iron-tail,steel,100.0,75.0,15,0,physical,generation-ii
232,metal-claw,steel,50.0,95.0,35,0,physical,generation-ii
233,vital-throw,fighting,70.0,,10,-1,physical,generation-ii
234,morning-sun,normal,,,5,0,status,generation-ii
235,synthesis,grass,,,5,0,status,generation-ii
236,moonlight,fairy,,,5,0,status,generation-ii
237,hidden-power,normal,60.0,100.0,15,0,special,generation-ii
238,cross-chop,fighting,100.0,80.0,5,0,physical,generation-ii
239,twister,dragon,40.0,100.0,20,0,special,generation-ii
24,double-kick,fighting,30.0,100.0,30,0,physical,generation-i
240,rain-dance,water,,,5,0,status,generation-ii
241,sunny-day,fire,,,5,0,status,generation-ii
242,crunch,dark,80.0,100.0,15,0,physical,generation-ii
243,mirror-coat,psychic,,100.0,20,-5,special,generation-ii
244,psych-up,normal,,,10,0,status,generation-ii
245,extreme-speed,normal,80.0,100.0,5,2,physical,generation-ii
246,ancient-power,rock,60.0,100.0,5,0,special,generation-ii
247,shadow-ball,ghost,80.0,100.0,15,0,special,generation-ii
248,future-sight,psychic,120.0,100.0,10,0,special,generation-ii
249,rock-smash,fighting,40.0,100.0,15,0,physical,generation-ii
25,mega-kick,normal,120.0,75.0,5,0,physical,generation-i
250,whirlpool,water,35.0,85.0,15,0,special,generation-ii
251,beat-up,dark,,100.0,10,0,physical,generation-ii
252,fake-out,normal,40.0,100.0,10,3,physical,generation-iii
253,uproar,normal,90.0,100.0,10,0,special,generation-iii
254,stockpile,normal,,,20,0,status,generation-iii
255,spit-up,normal,,100.0,10,0,special,generation-iii
256,swallow,normal,,,10,0,status,generation-iii
257,heat-wave,fire,95.0,90.0,10,0,special,generation-iii
258,hail,ice,,,10,0,status,generation-iii
259,torment,dark,,100.0,15,0,status,generation-iii
26,jump-kick,fighting,100.0,95.0,10,0,physical,generation-i
260,flatter,dark,,100.0,15,0,status,generation-iii
261,will-o-wisp,fire,,85.0,15,0,status,generation-iii
262,memento,dark,,100.0,10,0,status,generation-iii
263,facade,normal,70.0,100.0,20,0,physical,generation-iii
264,focus-punch,fighting,150.0,100.0,20,-3,physical,generation-iii
265,smelling-salts,normal,70.0,100.0,10,0,physical,generation-iii
266,follow-me,normal,,,20,2,status,generation-iii
267,nature-power,normal,,,20,0,status,generation-iii
268,charge,electric,,,20,0,status,generation-iii
269,taunt,dark,,100.0,20,0,status,generation-iii
27,rolling-kick,fighting,60.0,85.0,15,0,physical,generation-i
270,helping-hand,normal,,,20,5,status,generation-iii
271,trick,psychic,,100.0,10,0,status,generation-iii
272,role-play,psychic,,,10,0,status,generation-iii
273,wish,normal,,,10,0,status,generation-iii
274,assist,normal,,,20,0,status,generation-iii
275,ingrain,grass,,,20,0,status,generation-iii
276,superpower,fighting,120.0,100.0,5,0,physical,generation-iii
277,magic-coat,psychic,,,15,4,status,generation-iii
278,recycle,normal,,,10,0,status,generation-iii
