pokemon_id,pokemon_name,height_m,weight_kg,base_experience,hp,attack,defense,special_attack,special_defense,speed
1,bulbasaur,0.7,6.9,64.0,45,49,49,65,65,45
2,ivysaur,1.0,13.0,142.0,60,62,63,80,80,60
3,venusaur,2.0,100.0,236.0,80,82,83,100,100,80
4,charmander,0.6,8.5,62.0,39,52,43,60,50,65
5,charmeleon,1.1,19.0,142.0,58,64,58,80,65,80
6,charizard,1.7,90.5,240.0,78,84,78,109,85,100
7,squirtle,0.5,9.0,63.0,44,48,65,50,64,43
8,wartortle,1.0,22.5,142.0,59,63,80,65,80,58
9,blastoise,1.6,85.5,239.0,79,83,100,85,105,78
10,caterpie,0.3,2.9,39.0,45,30,35,20,20,45
11,metapod,0.7,9.9,72.0,50,20,55,25,25,30
12,butterfree,1.1,32.0,178.0,60,45,50,90,80,70
13,weedle,0.3,3.2,39.0,40,35,30,20,20,50
14,kakuna,0.6,10.0,72.0,45,25,50,25,25,35
15,beedrill,1.0,29.5,178.0,65,90,40,45,80,75
16,pidgey,0.3,1.8,50.0,40,45,40,35,35,56
17,pidgeotto,1.1,30.0,122.0,63,60,55,50,50,71
18,pidgeot,1.5,39.5,216.0,83,80,75,70,70,101
19,rattata,0.3,3.5,51.0,30,56,35,25,35,72
20,raticate,0.7,18.5,145.0,55,81,60,50,70,97
21,spearow,0.3,2.0,52.0,40,60,30,31,31,70
22,fearow,1.2,38.0,155.0,65,90,65,61,61,100
23,ekans,2.0,6.9,58.0,35,60,44,40,54,55
24,arbok,3.5,65.0,157.0,60,95,69,65,79,80
25,pikachu,0.4,6.0,112.0,35,55,40,50,50,90
26,raichu,0.8,30.0,218.0,60,90,55,90,80,110
27,sandshrew,0.6,12.0,60.0,50,75,85,20,30,40
28,sandslash,1.0,29.5,158.0,75,100,110,45,55,65
29,nidoran-f,0.4,7.0,55.0,55,47,52,40,40,41
30,nidorina,0.8,20.0,128.0,70,62,67,55,55,56
31,nidoqueen,1.3,60.0,227.0,90,92,87,75,85,76
32,nidoran-m,0.5,9.0,55.0,46,57,40,40,40,50
33,nidorino,0.9,19.5,128.0,61,72,57,55,55,65
34,nidoking,1.4,62.0,227.0,81,102,77,85,75,85
35,clefairy,0.6,7.5,113.0,70,45,48,60,65,35
36,clefable,1.3,40.0,217.0,95,70,73,95,90,60
37,vulpix,0.6,9.9,60.0,38,41,40,50,65,65
38,ninetales,1.1,19.9,177.0,73,76,75,81,100,100
39,jigglypuff,0.5,5.5,95.0,115,45,20,45,25,20
40,wigglytuff,1.0,12.0,196.0,140,70,45,85,50,45
41,zubat,0.8,7.5,49.0,40,45,35,30,40,55
42,golbat,1.6,55.0,159.0,75,80,70,65,75,90
43,oddish,0.5,5.4,64.0,45,50,55,75,65,30
44,gloom,0.8,8.6,138.0,60,65,70,85,75,40
45,vileplume,1.2,18.6,221.0,75,80,85,110,90,50
46,paras,0.3,5.4,57.0,35,70,55,45,55,25
47,parasect,1.0,29.5,142.0,60,95,80,60,80,30
48,venonat,1.0,30.0,61.0,60,55,50,40,55,45
49,venomoth,1.5,12.5,158.0,70,65,60,90,75,90
50,diglett,0.2,0.8,53.0,10,55,25,35,45,95
51,dugtrio,0.7,33.3,149.0,35,100,50,50,70,120
