pokemon_id,ability_name,slot,is_hidden
1,overgrow,1,False
1,chlorophyll,3,True
2,overgrow,1,False
2,chlorophyll,3,True
3,overgrow,1,False
3,chlorophyll,3,True
4,blaze,1,False
4,solar-power,3,True
5,blaze,1,False
5,solar-power,3,True
6,blaze,1,False
6,solar-power,3,True
7,torrent,1,False
7,rain-dish,3,True
8,torrent,1,False
8,rain-dish,3,True
9,torrent,1,False
9,rain-dish,3,True
10,shield-dust,1,False
10,run-away,3,True
11,shed-skin,1,False
12,compound-eyes,1,False
12,tinted-lens,3,True
13,shield-dust,1,False
13,run-away,3,True
14,shed-skin,1,False
15,swarm,1,False
15,sniper,3,True
16,keen-eye,1,False
16,tangled-feet,2,False
16,big-pecks,3,True
17,keen-eye,1,False
17,tangled-feet,2,False
17,big-pecks,3,True
18,keen-eye,1,False
18,tangled-feet,2,False
18,big-pecks,3,True
19,run-away,1,False
19,guts,2,False
19,hustle,3,True
20,run-away,1,False
20,guts,2,False
20,hustle,3,True
21,keen-eye,1,False
21,sniper,3,True
22,keen-eye,1,False
22,sniper,3,True
23,intimidate,1,False
23,shed-skin,2,False
23,unnerve,3,True
24,intimidate,1,False
24,shed-skin,2,False
24,unnerve,3,True
25,static,1,False
25,lightning-rod,3,True
26,static,1,False
26,lightning-rod,3,True
27,sand-veil,1,False
27,sand-rush,3,True
28,sand-veil,1,False
28,sand-rush,3,True
29,poison-point,1,False
29,rivalry,2,False
29,hustle,3,True
30,poison-point,1,False
30,rivalry,2,False
30,hustle,3,True
31,poison-point,1,False
31,rivalry,2,False
31,sheer-force,3,True
32,poison-point,1,False
32,rivalry,2,False
32,hustle,3,True
33,poison-point,1,False
33,rivalry,2,False
33,hustle,3,True
34,poison-point,1,False
34,rivalry,2,False
34,sheer-force,3,True
35,cute-charm,1,False
35,magic-guard,2,False
35,friend-guard,3,True
36,cute-charm,1,False
36,magic-guard,2,False
36,unaware,3,True
37,flash-fire,1,False
37,drought,3,True
38,flash-fire,1,False
38,drought,3,True
39,cute-charm,1,False
39,competitive,2,False
39,friend-guard,3,True
40,cute-charm,1,False
40,competitive,2,False
40,frisk,3,True
41,inner-focus,1,False
41,infiltrator,3,True
42,inner-focus,1,False
42,infiltrator,3,True
43,chlorophyll,1,False
43,run-away,3,True
44,chlorophyll,1,False
44,stench,3,True
45,chlorophyll,1,False
45,effect-spore,3,True
46,effect-spore,1,False
46,dry-skin,2,False
46,damp,3,True
47,effect-spore,1,False
47,dry-skin,2,False
47,damp,3,True
48,compound-eyes,1,False
48,tinted-lens,2,False
48,run-away,3,True
49,shield-dust,1,False
49,tinted-lens,2,False
